economy,Country,year,gdp_per_capita,gdp_growth,fdi_inflows,unemployment,poverty_headcount,gini_index,life_expectancy,infant_mortality,hospital_beds,population,literacy_rate,school_enrolment_primary,school_enrolment_secondary,education_expenditure,electricity_access,renewable_energy,forest_area,clean_water_access,female_labour,female_literacy,women_parliament,maternal_mortality,gender_parity,internet_users,sub_region
ARE,United Arab Emirates,YR2011,51921.904511613,6.73646786920814,1.938861867408,2.587,,,81.898,6.8,1.26,7104538.0,,,,,100.0,0.1,4.46775556181357,99.8338027658417,43.94,,17.5,4.0,,78.0,West Asia
ARE,United Arab Emirates,YR2012,53141.6124340099,4.6832657020049,2.43554239157448,2.323,,,81.913,6.7,1.29,7391448.0,,,,,100.0,0.1,4.46775556181357,99.857009861268,44.993,,17.5,4.0,,85.0,West Asia
ARE,United Arab Emirates,YR2013,53247.2409495441,4.91847806719888,2.38382217021709,2.125,0.0,32.5,81.95,6.5,1.25,7693031.0,,,,,100.0,0.1,4.46775556181357,99.8804113765895,46.063,,17.5,4.0,,88.0,West Asia
ARE,United Arab Emirates,YR2014,52725.2358407934,4.63288144983127,2.60546065371654,1.999,,,81.99,6.3,1.29,8059440.0,,,,,100.0,0.1,4.46775556181357,99.903989878004,47.13,,17.5,3.0,,90.4,West Asia
ARE,United Arab Emirates,YR2015,44910.334995523,7.08767348587587,2.23861395699196,1.793,,,82.076,6.1,1.43,8505237.0,,,,,100.0,0.1,4.46775556181357,99.927750524332,48.183,,22.5,3.0,,90.5,West Asia
ARE,United Arab Emirates,YR2016,42721.0999383185,5.65793329224303,2.51620200951453,1.64,,,82.195,5.8,1.39,8935095.0,,,,,100.0,0.1,4.46775556181357,99.9516742010968,49.228,,22.5,3.0,0.960950016975403,90.6,West Asia
ARE,United Arab Emirates,YR2017,43733.6192287435,-1.06137661464977,2.56696112401594,2.462,,,82.388,5.6,1.46,9223225.0,,,,,100.0,0.2,4.46775556181357,99.9757617709263,50.926,,22.5,3.0,0.948279976844788,94.8199,West Asia
ARE,United Arab Emirates,YR2018,47135.3591943971,1.53716683173516,2.35729150002132,2.236,0.0,26.4,82.449,5.3,1.6,9346701.0,,105.675358079069,102.184448242188,,100.0,0.3,4.46775556181357,100.0,51.312,,22.5,3.0,,98.45,West Asia
ARE,United Arab Emirates,YR2019,45938.6073581994,1.27134240761141,4.11928564301823,2.331,,,82.596,5.0,1.83,9445785.0,97.7799987792969,107.533197014116,101.747344264722,3.86020994186401,100.0,0.7,4.46775556181357,99.9999978860586,54.381,97.129997253418,50.0,3.0,0.994229972362518,99.15,West Asia
ARE,United Arab Emirates,YR2020,37991.7492971665,-8.69342617885171,5.56735507865122,4.294,,,81.936,4.7,1.91,9401038.0,,108.069803864287,99.1635400791877,3.98417997360229,100.0,0.9,4.46775556181357,99.9999979225426,58.18,,50.0,6.0,1.01047003269196,100.0,West Asia
ARE,United Arab Emirates,YR2021,44118.5047192771,4.55278571242283,4.89230472033291,3.105,,,79.083,4.4,1.88,9575152.0,98.129997253418,106.652834923572,103.210663324826,3.89403009414673,100.0,1.0,4.46775556181357,100.0,50.452,97.1699981689453,50.0,6.0,,100.0,West Asia
ARE,United Arab Emirates,YR2022,50759.7589231191,7.51448425801082,4.44591399207935,2.872,,,80.487,4.2,1.87,10074977.0,98.2900009155273,107.287431527388,102.380981445312,,100.0,,4.46775556181357,100.0,53.057,97.5800018310547,50.0,2.0,,100.0,West Asia
ARE,United Arab Emirates,YR2023,49850.6872175164,4.30118228020602,5.87184069440898,2.151,,,82.909,4.0,,10483751.0,98.0599975585938,106.259950303562,101.944972436447,,100.0,,4.46775556181357,99.9999970727207,52.347,97.5,50.0,3.0,,100.0,West Asia
ARM,Armenia,YR2000,593.450581742282,5.90000000312092,5.45043315573561,11.107,,,72.8804878048781,27.8,6.65,3221100.0,,90.6347198486328,86.0512008666992,2.77273011207581,98.9,7.2,11.6838777660695,95.6686709319985,54.459,,3.05343511450382,40.0,1.07114005088806,1.30047,West Asia
ARM,Armenia,YR2001,659.588988535629,9.59999999927597,3.29806741743693,11.012,24.1,35.4,72.9756097560976,26.4,5.24,3211800.0,99.4000015258789,100.956871032715,86.7833099365234,2.46943998336792,100.0,5.4,11.6765718299965,95.8831045898119,54.317,99.1600036621094,3.05343511450382,38.0,,1.63109,West Asia
ARM,Armenia,YR2002,742.651118319819,13.1999999979356,4.65949974895044,10.888,19.8,34.8,72.8268292682927,25.0,4.57,3199800.0,,100.275489807129,,2.13504004478455,98.0,8.9,11.6692658939234,96.1112432491429,54.029,,3.05343511450382,36.0,,1.96041,West Asia
ARM,Armenia,YR2003,882.030167695474,14.0000000015501,4.37657009672654,10.769,14.8,33.0,72.8268292682927,23.7,4.68,3182500.0,,102.086128234863,,2.1450400352478,99.1,9.8,11.6619599578504,96.3451158105318,53.753,,4.58015267175572,35.0,,4.57522,West Asia
ARM,Armenia,YR2004,1130.08791444158,10.4999999988202,6.90990201303095,10.676,10.3,37.5,73.0268292682927,22.5,4.72,3164900.0,,102.151290893555,88.6511611938477,2.48673009872436,99.1,8.7,11.6546540217773,96.5805389121638,53.518,,5.34351145038168,34.0,,4.89901,West Asia
